ref;title;author;lastRunTime;totalVotes;competition;domain;dataDependency;codeDependency;awareness;modularity;configurableOptions;scalability;readability;performance;duplicateCodeElimination;total
mohamedsameh0410/linear-regression-ridge-and-lasso-house-prices;linear-regression-ridge-and-lasso-house-prices;mohamedsameh0410;950;1285;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
usamabalochhh/solving-house-price-problem;solving-house-price-problem;usamabalochhh;750;1265;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
georgyzubkov/house-prices-feature-engeneering-eda;house-prices-feature-engeneering-eda;georgyzubkov;1350;1245;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
niekvanderzwaag/housing-price-prediction-regression;housing-price-prediction-regression;niekvanderzwaag;850;1225;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
omkaarp/house-prices-regression-techniques-submission;house-prices-regression-techniques-submission;omkaarp;1150;1205;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
gaganmaahi224/top-30-houseprice-prediction-with-auto-eval-ml;top-30-houseprice-prediction-with-auto-eval-ml;gaganmaahi224;1450;1185;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
dhananjaysawarkar/house-price-prediction-for-beginners;house-price-prediction-for-beginners;dhananjaysawarkar;950;1165;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ankitverma2010/house-price-prediction-ensemble-methods;house-price-prediction-ensemble-methods;ankitverma2010;1250;1145;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
faressayah/automatic-hyperparameter-tuning-with-optuna;automatic-hyperparameter-tuning-with-optuna;faressayah;1050;1125;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
vikumsw/guide-on-hyperparameter-tuning-using-gridsearchcv;guide-on-hyperparameter-tuning-using-gridsearchcv;vikumsw;850;1105;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
vhrique/simple-house-price-prediction-stacking;simple-house-price-prediction-stacking;vhrique;750;1085;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
liyenhsu/feature-selection-and-ensemble-of-5-models;feature-selection-and-ensemble-of-5-models;liyenhsu;1650;1065;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mustafaoz158/house-prices-eda-prediction-with-ml;house-prices-eda-prediction-with-ml;mustafaoz158;1350;1045;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
miftahuladib/housing-price-regression-top-4;housing-price-regression-top-4;miftahuladib;1950;1025;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
validmodel/comprehensive-exploratory-data-analysis;comprehensive-exploratory-data-analysis;validmodel;1150;1005;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
dhirendra73/house-price-advance-regression-90-accuracy;house-price-advance-regression-90-accuracy;dhirendra73;1450;985;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
faressayah/outlier-detection-using-pdf-and-z-score;outlier-detection-using-pdf-and-z-score;faressayah;650;965;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
sidraina89/regularized-regression-housing-pricing;regularized-regression-housing-pricing;sidraina89;950;945;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
rizkia14/visualisasi-data-ggplot2-cheatsheet;visualisasi-data-ggplot2-cheatsheet;rizkia14;450;925;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
mschuer/house-price-predicitons;house-price-predicitons;mschuer;750;905;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
odins0n/h2o-ai-automl-regression-house-price-prediction;h2o-ai-automl-regression-house-price-prediction;odins0n;1250;885;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mitramir5/anomaly-detection-skewed-features-and-stories;anomaly-detection-skewed-features-and-stories;mitramir5;850;865;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
twinkle0705/a-comprehensive-guide-to-handle-missing-values;a-comprehensive-guide-to-handle-missing-values;twinkle0705;650;845;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
anologicon/my-house-prices-forecasting-model;my-house-prices-forecasting-model;anologicon;1050;825;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
abdoashraf90/house-price;house-price;abdoashraf90;450;805;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
youssifhassan/house-price-prediction;house-price-prediction;youssifhassan;750;785;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
nandomartinez/house-prices-in-progress;house-prices-in-progress;nandomartinez;950;765;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
zlfnurdilaradodu/house-price-prediction;house-price-prediction;zlfnurdilaradodu;850;745;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
munmun2004/house-prices-for-begginers;house-prices-for-begginers;munmun2004;750;725;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
risabbiswas19/ensembling-for-regression-top-6-on-lb;ensembling-for-regression-top-6-on-lb;risabbiswas19;1850;705;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
laurae2/plotting-all-data;plotting-all-data;laurae2;550;685;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
hanyjr/house-price-analysis-preprocessing-and-prediction;house-price-analysis-preprocessing-and-prediction;hanyjr;1350;665;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
usamabalochhh/comparison-of-tree-based-models-with-explanation;comparison-of-tree-based-models-with-explanation;usamabalochhh;1050;645;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
ahmedmohamedmahrous/house-price-prediction-99-5-acc;house-price-prediction-99-5-acc;ahmedmohamedmahrous;1250;625;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
zayanmakar/high-score-predictions-for-house-prices;high-score-predictions-for-house-prices;zayanmakar;950;605;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
paulrohan2020/eda-and-simple-linear-regression-for-house-price;eda-and-simple-linear-regression-for-house-price;paulrohan2020;850;585;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
medyasun/house-price-all-regressor-algorithms;house-price-all-regressor-algorithms;medyasun;1150;565;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
darshanjain29/house-price-prediction-top-in-94-to-top-in-28;house-price-prediction-top-in-94-to-top-in-28;darshanjain29;1550;545;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
zavodrobotov/lasso-model-for-regression-problem;lasso-model-for-regression-problem;zavodrobotov;750;525;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
devbilalkhan/house-price-hidden-secret-in-the-data;house-price-hidden-secret-in-the-data;devbilalkhan;1050;505;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
mojtabaameri/house-prices-advanced-regression-challenge;house-prices-advanced-regression-challenge;mojtabaameri;1350;485;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
alawdisoft/advance-house-pricing;advance-house-pricing;alawdisoft;950;465;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
waldemar/super-easy-introduction-to-kaggle-directories;super-easy-introduction-to-kaggle-directories;waldemar;350;445;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
mmellinger66/house-prices-eda-linear-regression;house-prices-eda-linear-regression;mmellinger66;1050;425;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
sathyakrishnan12/advanced-regression-analysis-feb-2022;advanced-regression-analysis-feb-2022;sathyakrishnan12;1250;405;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
modassirafzal/housing-top-3;housing-top-3;modassirafzal;1850;385;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
thiagopanini/exploring-and-modeling-housing-prices;exploring-and-modeling-housing-prices;thiagopanini;1150;365;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
anand0427/regression-algorithms-for-beginners;regression-algorithms-for-beginners;anand0427;950;345;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
kalelpark/hey-kaggler-merry-christmas-see-christmas-tree;hey-kaggler-merry-christmas-see-christmas-tree;kalelpark;650;325;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
himaoka/house-simple-svr-support-vector-regression;house-simple-svr-support-vector-regression;himaoka;850;305;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
piyras23/an-approach-with-statistical-learning-regress;an-approach-with-statistical-learning-regress;piyras23;1050;285;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
virtonos/housing-prices-forecasts;housing-prices-forecasts;virtonos;750;265;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
nlprunner/housing-prices-prediction-with-scikit-learn;housing-prices-prediction-with-scikit-learn;nlprunner;850;245;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
chazzer/ml-grandmaster-gradient-boosting-xgboost;ml-grandmaster-gradient-boosting-xgboost;chazzer;950;225;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
huseyincosgun/eda-visualization-skills;eda-visualization-skills;huseyincosgun;750;205;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
eavannan/house-price-prediction-simple-ml;house-price-prediction-simple-ml;eavannan;650;185;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
yuyougnchan/look-at-this-note-numeric-variable-is-easy;look-at-this-note-numeric-variable-is-easy;yuyougnchan;550;165;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
limmyoungjin/r-t2-4-house-prices;r-t2-4-house-prices;limmyoungjin;250;145;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
celniker/house-prices-lgbm-tuned-stacked-model-0-12;house-prices-lgbm-tuned-stacked-model-0-12;celniker;1750;125;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
anuragbantu/target-encoding-beginner-s-guide;target-encoding-beginner-s-guide;anuragbantu;850;105;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
jeevikasharma2003/ultimate-guide-to-data-cleaning-techniques;ultimate-guide-to-data-cleaning-techniques;jeevikasharma2003;750;85;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
nathanbitu/top-12-my-approach-to-house-price-regression;top-12-my-approach-to-house-price-regression;nathanbitu;1450;65;House Prices;Real Estate;0;0;0;0;0;0;0;0;0;0
alexisbcook/exercise-arithmetic-and-variables;exercise-arithmetic-and-variables;alexisbcook;45;45;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
alexisbcook/titanic-tutorial;titanic-tutorial;alexisbcook;250;25;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
startupsci/titanic-data-science-solutions;titanic-data-science-solutions;startupsci;1250;5;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
arthurtok/introduction-to-ensembling-stacking-in-python;introduction-to-ensembling-stacking-in-python;arthurtok;1050;4985;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
ldfreeman3/a-data-science-framework-to-achieve-99-accuracy;a-data-science-framework-to-achieve-99-accuracy;ldfreeman3;1550;4965;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
mrisdal/exploring-survival-on-the-titanic;exploring-survival-on-the-titanic;mrisdal;950;4945;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
omarelgabry/a-journey-through-titanic;a-journey-through-titanic;omarelgabry;1150;4925;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
gusthema/titanic-competition-w-tensorflow-decision-forests;titanic-competition-w-tensorflow-decision-forests;gusthema;850;4905;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
helgejo/an-interactive-data-science-tutorial;an-interactive-data-science-tutorial;helgejo;750;4885;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
ash316/eda-to-prediction-dietanic;eda-to-prediction-dietanic;ash316;1450;4865;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/upura-kaggle-tutorial-01-first-submission;upura-kaggle-tutorial-01-first-submission;sishihara;350;4845;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
yassineghouzam/titanic-top-4-with-ensemble-modeling;titanic-top-4-with-ensemble-modeling;yassineghouzam;1850;4825;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
jhoward/linear-model-and-neural-net-from-scratch;linear-model-and-neural-net-from-scratch;jhoward;950;4805;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
gunesevitan/titanic-advanced-feature-engineering-tutorial;titanic-advanced-feature-engineering-tutorial;gunesevitan;1250;4785;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
agileteam/py-t1-1-iqr-expected-questions;py-t1-1-iqr-expected-questions;agileteam;65;4765;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
nadintamer/titanic-survival-predictions-beginner;titanic-survival-predictions-beginner;nadintamer;850;4745;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
kenjee/titanic-project-example;titanic-project-example;kenjee;1050;4725;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/python-kaggle-start-book-ch02-01;python-kaggle-start-book-ch02-01;sishihara;450;4705;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
jhoward/how-random-forests-really-work;how-random-forests-really-work;jhoward;750;4685;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-1-getting-started;python-for-data-1-getting-started;hamelg;150;4665;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
masumrumi/a-statistical-analysis-ml-workflow-of-titanic;a-statistical-analysis-ml-workflow-of-titanic;masumrumi;1350;4645;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
pavansanagapati/knowledge-graph-nlp-tutorial-bert-spacy-nltk;knowledge-graph-nlp-tutorial-bert-spacy-nltk;pavansanagapati;2888;1612;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sinakhorami/titanic-best-working-classifier;titanic-best-working-classifier;sinakhorami;1150;4605;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
agileteam/t2-1-titanic-simple-baseline;t2-1-titanic-simple-baseline;agileteam;250;4585;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
jeffd23/scikit-learn-ml-from-start-to-finish;scikit-learn-ml-from-start-to-finish;jeffd23;950;4565;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
mnassrib/titanic-logistic-regression-with-python;titanic-logistic-regression-with-python;mnassrib;750;4545;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
jhoward/why-you-should-use-a-framework;why-you-should-use-a-framework;jhoward;350;4525;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hiteshp/head-start-for-data-scientist;head-start-for-data-scientist;hiteshp;1050;4505;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
brendan45774/titanic-top-solution;titanic-top-solution;brendan45774;1650;4485;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
subinium/simple-matplotlib-visualization-tips;simple-matplotlib-visualization-tips;subinium;550;4465;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-2-python-arithmetic;python-for-data-2-python-arithmetic;hamelg;150;4445;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
benhamner/random-forest-benchmark-r;random-forest-benchmark-r;benhamner;650;4425;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
nareshbhat/outlier-the-silent-killer;outlier-the-silent-killer;nareshbhat;450;1345;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/upura-kaggle-tutorial-02-overview;upura-kaggle-tutorial-02-overview;sishihara;450;4385;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
dmilla/introduction-to-decision-trees-titanic-dataset;introduction-to-decision-trees-titanic-dataset;dmilla;850;4365;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
tarunpaparaju/titanic-competition-how-top-lb-got-their-score;titanic-competition-how-top-lb-got-their-score;tarunpaparaju;1150;4345;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
pmarcelino/data-analysis-and-feature-extraction-with-python;data-analysis-and-feature-extraction-with-python;pmarcelino;950;4325;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
headsortails/pytanic;pytanic;headsortails;750;4305;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
akhabash/cheatsheet-70-ggplot-charts;cheatsheet-70-ggplot-charts;akhabash;350;1275;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
dansbecker/partial-dependence-plots;partial-dependence-plots;dansbecker;550;4265;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
parulpandey/a-guide-to-handling-missing-values-in-python;a-guide-to-handling-missing-values-in-python;parulpandey;650;4245;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
sishihara/upura-kaggle-tutorial-03-feature-engineering;upura-kaggle-tutorial-03-feature-engineering;sishihara;1050;4225;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
imoore/titanic-the-only-notebook-you-need-to-see;titanic-the-only-notebook-you-need-to-see;imoore;1350;4205;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-3-basic-data-types;python-for-data-3-basic-data-types;hamelg;150;4185;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
parulpandey/10-simple-hacks-to-speed-up-your-data-analysis;10-simple-hacks-to-speed-up-your-data-analysis;parulpandey;450;4165;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
kanncaa1/dataiteam-titanic-eda;dataiteam-titanic-eda;kanncaa1;950;4145;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
faressayah/decision-trees-random-forest-for-beginners;decision-trees-random-forest-for-beginners;faressayah;850;4125;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/upura-kaggle-tutorial-04-lightgbm;upura-kaggle-tutorial-04-lightgbm;sishihara;750;4105;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
niklasdonges/end-to-end-project-with-python;end-to-end-project-with-python;niklasdonges;1250;4085;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/python-kaggle-start-book-ch02-03;python-kaggle-start-book-ch02-03;sishihara;550;4065;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
erikbruin/titanic-2nd-degree-families-and-majority-voting;titanic-2nd-degree-families-and-majority-voting;erikbruin;1150;4045;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
poonaml/titanic-survival-prediction-end-to-end-ml-pipeline;titanic-survival-prediction-end-to-end-ml-pipeline;poonaml;1450;4025;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
shivamb/semi-supervised-classification-using-autoencoders;semi-supervised-classification-using-autoencoders;shivamb;1050;4005;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
pavansanagapati/ensemble-learning-techniques-tutorial;ensemble-learning-techniques-tutorial;pavansanagapati;1100;1225;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-5-lists;python-for-data-5-lists;hamelg;150;3965;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
cdeotte/titanic-wcg-xgboost-0-84688;titanic-wcg-xgboost-0-84688;cdeotte;1950;3945;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
pedrodematos/titanic-a-complete-approach-for-data-scientists;titanic-a-complete-approach-for-data-scientists;pedrodematos;1550;3925;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-4-variables;python-for-data-4-variables;hamelg;150;3905;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
zlatankr/titanic-random-forest-82-78;titanic-random-forest-82-78;zlatankr;850;3885;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
vinothan/titanic-model-with-90-accuracy;titanic-model-with-90-accuracy;vinothan;1050;3865;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
datacanary/xgboost-example-python;xgboost-example-python;datacanary;650;3845;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/python-kaggle-start-book-ch02-05;python-kaggle-start-book-ch02-05;sishihara;650;3825;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/upura-kaggle-tutorial-05-tuning;upura-kaggle-tutorial-05-tuning;sishihara;1250;3805;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
werooring/ch0-titanic-basic-solution-using-randomforest;ch0-titanic-basic-solution-using-randomforest;werooring;750;3785;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/python-kaggle-start-book-ch02-04;python-kaggle-start-book-ch02-04;sishihara;650;3765;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
parulpandey/useful-python-libraries-for-data-science;useful-python-libraries-for-data-science;parulpandey;500;1170;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/py310-python-kaggle-start-book-ch02-01;py310-python-kaggle-start-book-ch02-01;sishihara;550;3725;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
subinium/awesome-visualization-with-titanic-dataset;awesome-visualization-with-titanic-dataset;subinium;850;3705;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
soham1024/titanic-data-science-eda-with-meme-solution;titanic-data-science-eda-with-meme-solution;soham1024;1150;3685;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/upura-kaggle-tutorial-06-validation;upura-kaggle-tutorial-06-validation;sishihara;950;3665;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
kabure/titanic-eda-model-pipeline-keras-nn;titanic-eda-model-pipeline-keras-nn;kabure;1350;3645;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
funxexcel/titanic-basic-solution-using-adaboost;titanic-basic-solution-using-adaboost;funxexcel;750;3625;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
nkitgupta/advance-data-preprocessing;advance-data-preprocessing;nkitgupta;1050;3605;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
yildirimarda/decision-tree-visualization-submission;decision-tree-visualization-submission;yildirimarda;650;3585;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
pavansanagapati/14-simple-tips-to-save-ram-memory-for-1-gb-dataset;14-simple-tips-to-save-ram-memory-for-1-gb-dataset;pavansanagapati;300;1115;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-8-numpy-arrays;python-for-data-8-numpy-arrays;hamelg;250;3545;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-6-tuples-and-strings;python-for-data-6-tuples-and-strings;hamelg;150;3525;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
andreshg/automatic-eda-libraries-comparisson;automatic-eda-libraries-comparisson;andreshg;850;3505;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-analysis-index;python-for-data-analysis-index;hamelg;50;3485;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
konstantinmasich/titanic-0-82-0-83;titanic-0-82-0-83;konstantinmasich;1250;3465;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
frtgnn/pycaret-introduction-classification-regression;pycaret-introduction-classification-regression;frtgnn;700;1095;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-14-data-exploration-and-cleaning;python-for-data-14-data-exploration-and-cleaning;hamelg;950;3425;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-9-pandas-dataframes;python-for-data-9-pandas-dataframes;hamelg;250;3405;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
preejababu/titanic-data-science-solutions;titanic-data-science-solutions;preejababu;1150;3385;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
fatmakursun/titanic-classification-models;titanic-classification-models;fatmakursun;1050;3365;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
tientd95/pyspark-for-data-science;pyspark-for-data-science;tientd95;1350;3345;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
sishihara/python-kaggle-start-book-ch02-06;python-kaggle-start-book-ch02-06;sishihara;750;3325;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
pliptor/how-am-i-doing-with-my-score;how-am-i-doing-with-my-score;pliptor;450;3305;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sandragracenelson/titanic-dataset-prediction;titanic-dataset-prediction;sandragracenelson;850;3285;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
eraaz1/a-comprehensive-guide-to-titanic-machine-learning;a-comprehensive-guide-to-titanic-machine-learning;eraaz1;1550;3265;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
jamesleslie/titanic-neural-network-for-beginners;titanic-neural-network-for-beginners;jamesleslie;950;3245;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
joshuajhchoi/titanic-tutorial-for-beginners-2020;titanic-tutorial-for-beginners-2020;joshuajhchoi;750;3225;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
rochellesilva/simple-tutorial-for-beginners;simple-tutorial-for-beginners;rochellesilva;650;3205;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
szamil/where-is-my-output-file;where-is-my-output-file;szamil;150;3185;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
pliptor/divide-and-conquer-0-82296;divide-and-conquer-0-82296;pliptor;1250;3165;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-10-reading-and-writing-data;python-for-data-10-reading-and-writing-data;hamelg;350;3145;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
chapagain/titanic-solution-a-beginner-s-guide;titanic-solution-a-beginner-s-guide;chapagain;1050;3125;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/upura-kaggle-tutorial-07-ensemble;upura-kaggle-tutorial-07-ensemble;sishihara;1450;3105;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
hamelg/python-for-data-7-dictionaries-and-sets;python-for-data-7-dictionaries-and-sets;hamelg;150;3085;General Data Science;General Data Science;0;0;0;0;0;0;0;0;0;0
vincentlugat/titanic-data-analysis-rf-prediction-0-81818;titanic-data-analysis-rf-prediction-0-81818;vincentlugat;1150;3065;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
isaienkov/top-3-efficient-ensembling-in-few-lines-of-code;top-3-efficient-ensembling-in-few-lines-of-code;isaienkov;1750;3045;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
dejavu23/titanic-eda-to-ml-beginner;titanic-eda-to-ml-beginner;dejavu23;950;3025;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/python-kaggle-start-book-ch02-07;python-kaggle-start-book-ch02-07;sishihara;850;3005;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
faressayah/logistic-regression-for-binary-classification-task;logistic-regression-for-binary-classification-task;faressayah;750;2985;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
pavansanagapati/automated-hyperparameter-tuning;automated-hyperparameter-tuning;pavansanagapati;1400;985;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
faressayah/support-vector-machine-pca-tutorial-for-beginner;support-vector-machine-pca-tutorial-for-beginner;faressayah;950;2945;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
sishihara/python-kaggle-start-book-ch02-02;python-kaggle-start-book-ch02-02;sishihara;550;2925;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
ydalat/titanic-a-step-by-step-intro-to-machine-learning;titanic-a-step-by-step-intro-to-machine-learning;ydalat;1150;2905;Titanic;Social Science/History;0;0;0;0;0;0;0;0;0;0
